RecordedDate,ResponseId,domain,Condition,understanding_pre_1,happy_pre_1,accuracy_post,accuracy_pre,understanding_post_1
2025-09-26 16:33:41,R_8NCWOV3xBbmwru1,phil,No,5,34,0.2,0.3,0
2025-09-26 16:34:20,R_1xOi3dO5ZyCxWEx,phil,No,57,87,0.6,0.5,4
2025-09-26 16:39:19,R_2gFP1gyPtVtKbGy,phil,No,1,92,0.5,0.4,0
2025-09-26 16:41:44,R_6iwIVNhv7VY33jZ,phil,No,50,94,0.3,0.5,1
2025-09-26 16:46:34,R_8EqvXRZ1wdGliCZ,phil,No,9,78,0.5,0.4,0
2025-09-26 16:49:15,R_2VapZSuDDfHmTcZ,phil,No,45,30,0.1,0.7,20
2025-09-26 16:49:22,R_6MsojtRmi0jzwjH,phil,No,19,29,0.5,0.3,35
2025-09-26 16:49:33,R_1lG4aicazqO8a8a,phil,No,71,59,0.4,0.3,28
2025-09-26 16:49:45,R_8rIhgcnLs0zZ1Ae,phil,No,67,76,0.7,0.9,34
2025-09-26 16:50:22,R_86hCOAUVH1pFOX0,phil,No,49,75,0.9,0.7,31
2025-09-26 16:51:21,R_7rqVG5kPRHHYUxG,phil,No,54,71,0.7,0.4,3
2025-09-26 16:52:12,R_3MX8nN8ZPy4pkhV,phil,No,32,80,0.6,0.3,11
2025-09-26 16:53:47,R_2yqnDsBwlufmNUA,phil,No,62,100,0.5,0.2,16
2025-09-26 16:53:48,R_8wB7Cr1BU7tRdZY,phil,No,13,36,0.8,0.4,2
2025-09-26 17:11:01,R_6ZBOGsoeMzQBHWx,phil,No,77,63,0.9,0.9,46
2025-09-26 17:13:21,R_8UasIHwgzfHb0OS,phil,No,30,65,0.7,0.6,11
2025-09-26 17:22:53,R_2Y6fzpaBoVf5mjC,phil,No,41,78,0.6,0.7,54
2025-09-26 17:22:58,R_1s0IjTEEmjjRBtU,phil,No,57,86,0.4,0.4,8
2025-09-26 17:27:07,R_3ON6YfV71YI9TBx,phil,No,50,74,0.5,0.6,24
2025-09-26 17:30:03,R_1cUTIe5HRhscSYN,phil,No,86,44,0.2,0.4,57
2025-09-26 17:35:47,R_2lYlzQag1SmrsgV,phil,No,44,57,0.4,0.3,27
2025-09-26 17:44:41,R_1wskiAu7YGUoSkJ,phil,No,77,82,0.6,0.7,75
2025-09-26 17:49:59,R_6Mll1DIkWyyvbfX,phil,No,82,72,0.2,0.7,42
2025-09-26 17:55:08,R_10Yei8ezgyMOkqd,phil,No,49,100,0.5,0.5,51
2025-09-26 18:01:39,R_5soZroWjxJejngf,phil,No,80,25,0.7,1,38
2025-09-26 18:06:08,R_1zASU11kutMESdK,phil,No,23,34,0.4,0.6,28
2025-09-26 18:06:47,R_7Eu6hBf1bjQx23j,phil,No,38,77,0.4,0.8,25
2025-09-26 18:07:58,R_2m24nD7h3QGwh7X,phil,No,58,100,0.6,0.4,76
2025-09-26 18:13:19,R_70vOtpRS05EcAHg,phil,No,68,80,0.6,0.5,0
2025-09-26 18:17:36,R_1PUFt6R1g9BdGbW,phil,No,34,26,0.7,0.5,1
2025-09-26 19:10:00,R_1DY5yFNjgNdYwzU,phil,No,28,31,0.2,0.4,33
2025-09-26 19:27:43,R_1vYdQ0yTgo7CZOt,phil,No,19,35,0.6,0.2,21
2025-09-26 19:40:50,R_5ueiGRErIJxbYxb,phil,No,73,63,0.6,0.4,79
2025-09-26 19:42:47,R_3rHkVhwxNxB45oo,phil,No,100,88,0.4,0.8,44
2025-09-26 19:43:57,R_5F397jnD0O96z5E,phil,No,18,63,0.8,0.8,33
